City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
318,patitirion,40,GR,1525366200,88,39.15,23.87,68.0,5.82
319,nuuk,75,GL,1525366200,58,64.17,-51.74,28.4,8.05
320,pisco,0,PE,1525363200,73,-13.71,-76.2,69.8,5.82
321,novaya zaimka,92,RU,1525368349,49,56.49,66.92,45.8,3.6
322,sabang,68,PH,1525368349,97,13.72,123.58,79.91,7.29
323,komsomolskiy,56,RU,1525368350,71,67.55,63.78,8.99,6.17
324,creel,24,MX,1525368350,28,27.75,-107.63,66.41,10.2
325,koslan,8,RU,1525368351,65,63.46,48.9,31.67,6.4
326,hamilton,20,BM,1525362900,64,32.3,-64.78,71.6,8.05
327,vanavara,20,RU,1525368351,50,60.35,102.28,32.57,6.4
328,dunedin,44,NZ,1525368205,86,-45.87,170.5,41.57,3.38
329,krasnyy chikoy,92,RU,1525368352,96,50.36,108.75,46.43,4.94
330,sretensk,48,RU,1525368353,39,52.24,117.7,48.59,6.62
331,viedma,0,AR,1525368353,41,-40.81,-62.99,63.26,13.0
332,puerto madryn,0,AR,1525368353,66,-42.77,-65.04,58.13,23.17
333,ahipara,8,NZ,1525368354,100,-35.17,173.16,46.25,3.71
334,xiamen,0,CN,1525366800,73,24.46,118.07,69.8,8.95
335,havre-saint-pierre,20,CA,1525366800,55,50.23,-63.6,39.2,10.29
336,vanimo,44,PG,1525368354,100,-2.67,141.3,83.69,1.36
337,kamina,8,CD,1525368355,75,-8.74,25.0,74.24,3.38
338,dubbo,75,AU,1525366800,49,-32.25,148.6,69.8,14.99
339,atambua,20,ID,1525368355,100,-9.11,124.89,75.41,6.17
340,necochea,0,AR,1525368356,86,-38.55,-58.74,64.97,8.75
341,husavik,20,CA,1525368356,78,50.56,-96.99,58.67,9.98
342,indianola,90,US,1525366380,93,40.24,-100.42,53.6,16.11
343,mocuba,76,MZ,1525368357,86,-16.84,36.99,73.7,5.17
344,marsabit,0,KE,1525368357,72,2.34,37.99,76.49,8.97
345,coolum beach,80,AU,1525368358,100,-26.53,153.09,66.95,2.48
346,haines junction,8,CA,1525368358,48,60.75,-137.51,31.4,3.04
347,mandera,36,ET,1525368360,43,3.94,41.86,86.21,9.53
348,santo antonio do ica,76,BR,1525368360,92,-3.1,-67.94,78.38,4.38
349,srednekolymsk,92,RU,1525368360,100,67.46,153.71,31.22,5.84
350,dhidhdhoo,44,MV,1525368361,100,6.88,73.1,85.94,8.97
351,moscow,0,RU,1525366800,39,55.75,37.62,68.0,4.47
352,gallup,75,US,1525366380,57,35.53,-108.74,48.2,12.75
353,karlskoga,75,SE,1525366200,93,59.33,14.52,46.4,8.05
354,el sauce,0,SV,1525366200,44,13.67,-87.8,95.0,4.7
355,atar,0,MR,1525368364,15,20.52,-13.05,86.39,7.96
356,saint-louis,75,CH,1525366800,58,47.59,7.56,59.0,14.99
357,bucerias,80,MX,1525368366,100,20.76,-105.33,79.37,2.59
358,mpika,0,ZM,1525368366,81,-11.84,31.4,65.96,8.63
359,taoudenni,36,ML,1525368366,11,22.68,-3.98,88.91,11.43
360,batagay-alyta,92,RU,1525368165,92,67.8,130.41,25.55,4.61
361,waiouru,8,NZ,1525368177,75,-39.48,175.67,28.43,2.48
362,spring hill,1,US,1525367700,39,28.46,-82.54,86.0,4.7
363,hanna,36,CA,1525368369,36,51.64,-111.93,63.98,7.07
364,aswan,0,EG,1525363200,9,24.09,32.9,104.0,3.36
365,iquitos,75,PE,1525363200,74,-3.75,-73.25,84.2,4.7
366,at-bashi,92,KG,1525368370,100,41.17,75.81,34.64,2.82
367,burnie,92,AU,1525368371,100,-41.05,145.91,56.87,18.48
368,veraval,0,FR,1525366800,47,49.65,0.71,57.2,9.17
369,hambantota,0,LK,1525368372,100,6.12,81.12,82.34,7.07
370,arman,90,RU,1525366800,100,59.7,150.17,26.6,2.48
371,kwinana,0,AU,1525367640,93,-32.25,115.77,44.6,5.82
372,puerto el triunfo,0,SV,1525366200,44,13.27,-88.55,95.0,4.7
373,llanes,48,ES,1525368374,91,43.42,-4.75,40.22,2.26
374,ilo,0,PE,1525368374,78,-17.65,-71.34,68.66,3.71
375,waharoa,0,NZ,1525368374,79,-37.76,175.76,38.24,2.71
376,caluquembe,100,AO,1525368375,37,-13.78,14.68,72.98,0.58
377,kidal,0,ML,1525368375,9,18.44,1.41,93.68,7.07
378,verkhoyansk,68,RU,1525368375,82,67.55,133.39,27.71,3.83
379,lancaster,1,US,1525366680,45,40.04,-76.31,87.8,19.46
380,cidreira,24,BR,1525368376,82,-30.17,-50.22,80.99,8.75
